"","Type","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","M2","Temperature",-0.0874048140544132,0.412687502138857,0.444432694611077,""
"V2","All","M8","Temperature",0.344169726086191,0.000895256040929735,0.00179051208185947,"**"
"V3","All","M14","Temperature",0.0583156857861246,0.58509149880512,0.58509149880512,""
"V4","All","M6","Temperature",-0.158535300668177,0.135586403134617,0.172564513080422,""
"V5","All","M4","Temperature",-0.39054174753263,0.000141514620772827,0.000330200781803263,"***"
"V6","All","M3","Temperature",0.592624673674309,7.58468435980094e-10,5.30927905186066e-09,"***"
"V7","All","M12","Temperature",-0.0937601516758316,0.37940578366534,0.442640080942897,""
"V8","All","M1","Temperature",-0.731651473498641,2.60071598126948e-16,3.64100237377727e-15,"***"
"V9","All","M7","Temperature",0.475335182900328,2.19907951290981e-06,7.69677829518433e-06,"***"
"V10","All","M10","Temperature",-0.42914654554277,2.43811023472324e-05,6.82670865722507e-05,"***"
"V11","All","M9","Temperature",-0.219302829741789,0.0378236866903954,0.0588368459628373,""
"V12","All","M11","Temperature",0.237530739806276,0.0241784149058104,0.0423122260851682,"*"
"V13","All","M13","Temperature",0.190856922144761,0.0715579059654218,0.100181068351591,""
"V14","All","M5","Temperature",0.507433025535248,3.31945494884085e-07,1.54907897612573e-06,"***"
"V15","All","M2","Precipitation",0.0565612831808396,0.596451032537604,0.596451032537604,""
"V16","All","M8","Precipitation",0.150933711398007,0.155602846394394,0.217843984952152,""
"V17","All","M14","Precipitation",0.134324252678456,0.20686679732474,0.222779627888182,""
"V18","All","M6","Precipitation",-0.380510253869492,0.000215971421161881,0.000604719979253267,"***"
"V19","All","M4","Precipitation",-0.14261504138581,0.179947039224934,0.222492793672526,""
"V20","All","M3","Precipitation",0.470160035494984,2.93094179593383e-06,2.05165925715368e-05,"***"
"V21","All","M12","Precipitation",-0.196560969690569,0.0633348569705424,0.110835999698449,""
"V22","All","M1","Precipitation",-0.61774955274033,8.82182973211366e-11,1.23505616249591e-09,"***"
"V23","All","M7","Precipitation",0.297621865816762,0.00438732213135132,0.00877464426270264,"**"
"V24","All","M10","Precipitation",-0.421708120857648,3.47981494883464e-05,0.00016239136427895,"***"
"V25","All","M9","Precipitation",-0.16781223247893,0.113881117147454,0.177148404451595,""
"V26","All","M11","Precipitation",0.345412111624028,0.00085510255548478,0.00199523929613115,"**"
"V27","All","M13","Precipitation",0.139199897092368,0.190708108862165,0.222492793672526,""
"V28","All","M5","Precipitation",0.389356056849935,0.000148870801375376,0.000521047804813816,"***"
"V29","All","M2","TOC",0.0837355319208931,0.432652855207121,0.605713997289969,""
"V30","All","M8","TOC",-0.913213397444345,4.53362384374441e-36,6.34707338124217e-35,"***"
"V31","All","M14","TOC",0.0749887332467388,0.482397833288133,0.613960878730351,""
"V32","All","M6","TOC",-0.115729458457891,0.277384511485909,0.477363281914781,""
"V33","All","M4","TOC",0.560039641537635,9.51510951105347e-09,6.66057665773743e-08,"***"
"V34","All","M3","TOC",-0.174689615114855,0.0996044589411219,0.348615606293927,""
"V35","All","M12","TOC",-0.141791580717188,0.182500245116041,0.441270463250994,""
"V36","All","M1","TOC",0.130380136351364,0.220635231625497,0.441270463250994,""
"V37","All","M7","TOC",-0.108908591335415,0.306876395516645,0.477363281914781,""
"V38","All","M10","TOC",-0.209726624404464,0.0472611024475974,0.220551811422121,""
"V39","All","M9","TOC",-0.0390020756949581,0.715131576521997,0.834320172608996,""
"V40","All","M11","TOC",-0.0241065510812594,0.821566382990138,0.877268860878428,""
"V41","All","M13","TOC",0.0165082502002799,0.877268860878428,0.877268860878428,""
"V42","All","M5","TOC",-0.132513860761263,0.213108566023416,0.441270463250994,""
"V43","All","M2","NH4",-0.0124937048268713,0.906960356269162,0.906960356269162,""
"V44","All","M8","NH4",0.0490757288488075,0.645988457546655,0.695679877357936,""
"V45","All","M14","NH4",-0.0895375397831311,0.401333843910918,0.529339534788461,""
"V46","All","M6","NH4",0.19602932824043,0.0640672928257249,0.445260214331616,""
"V47","All","M4","NH4",-0.0976339883897238,0.359939882272124,0.529339534788461,""
"V48","All","M3","NH4",-0.139163327070351,0.190825806142121,0.445260214331616,""
"V49","All","M12","NH4",0.147034996289285,0.166687252523831,0.445260214331616,""
"V50","All","M1","NH4",0.0665482424543217,0.533154136826926,0.622013159631414,""
"V51","All","M7","NH4",0.0975112941936168,0.360546799238347,0.529339534788461,""
"V52","All","M10","NH4",-0.0868058136165018,0.415909634476648,0.529339534788461,""
"V53","All","M9","NH4",0.285189264600977,0.00643890747474474,0.0901447046464264,""
"V54","All","M11","NH4",-0.165477076426258,0.1190731216212,0.445260214331616,""
"V55","All","M13","NH4",-0.157084789288772,0.139246642963722,0.445260214331616,""
"V56","All","M5","NH4",-0.11097923951825,0.297715336301484,0.529339534788461,""
"V57","All","M2","NO3",0.00602355030049043,0.955066074569986,0.955066074569986,""
"V58","All","M8","NO3",-0.390984056021937,0.000138857729150868,0.00194400820811215,"**"
"V59","All","M14","NO3",0.0997168188091881,0.349733373336296,0.499603456600024,""
"V60","All","M6","NO3",-0.0640023165023343,0.54896831936733,0.640463039261885,""
"V61","All","M4","NO3",0.196075472025835,0.0640034499111411,0.298682766251992,""
"V62","All","M3","NO3",0.088672058149199,0.405918880343166,0.516624029527666,""
"V63","All","M12","NO3",-0.143260526181764,0.177963976042173,0.415249277431737,""
"V64","All","M1","NO3",0.223308812472333,0.0343724693666791,0.240607285566754,""
"V65","All","M7","NO3",-0.121879618684851,0.252473898667581,0.477022000105591,""
"V66","All","M10","NO3",-0.0250916952047868,0.8144026037186,0.8770489578508,""
"V67","All","M9","NO3",0.143539788450853,0.177110997273882,0.415249277431737,""
"V68","All","M11","NO3",-0.0982586737039724,0.35685961185716,0.499603456600024,""
"V69","All","M13","NO3",0.116884725156234,0.272584000060338,0.477022000105591,""
"V70","All","M5","NO3",-0.14780693417168,0.164447498671577,0.415249277431737,""
"V71","All","M2","pH",-0.098867639461223,0.353872614955559,0.412851384114819,""
"V72","All","M8","pH",0.512826848535285,2.36954149554258e-07,1.1057860312532e-06,"***"
"V73","All","M14","pH",-0.117894430083947,0.268434363123499,0.375808108372899,""
"V74","All","M6","pH",0.267467878614129,0.0108166386076825,0.0378582351268887,"*"
"V75","All","M4","pH",-0.616287695542472,1.00507100668765e-10,1.40709940936271e-09,"***"
"V76","All","M3","pH",-0.0470905552256436,0.65940113819767,0.710124302674414,""
"V77","All","M12","pH",0.259123397574923,0.0136564066889817,0.0382379387291488,"*"
"V78","All","M1","pH",0.108786109789553,0.307423971660358,0.391266873022274,""
"V79","All","M7","pH",0.24100572195802,0.0221223001378516,0.0516187003216537,""
"V80","All","M10","pH",0.520815499893124,1.42277665082968e-07,9.95943655580776e-07,"***"
"V81","All","M9","pH",0.19632593123722,0.0636578234923745,0.127315646984749,""
"V82","All","M11","pH",-0.144439823624785,0.174382302021796,0.271261358700572,""
"V83","All","M13","pH",-0.149069812901591,0.160831452137536,0.271261358700572,""
"V84","All","M5","pH",-0.0332772389524779,0.755520179603934,0.755520179603934,""
"V85","All","M2","Conductivity",-0.0508132452258129,0.634340988177606,0.634340988177606,""
"V86","All","M8","Conductivity",0.178004480100474,0.0932442462088676,0.118674495174922,""
"V87","All","M14","Conductivity",0.0535041900899203,0.616477368089559,0.634340988177606,""
"V88","All","M6","Conductivity",-0.168244242316855,0.112940084637633,0.131763432077239,""
"V89","All","M4","Conductivity",-0.208052420993765,0.049095907887677,0.0763714122697198,""
"V90","All","M3","Conductivity",0.515152142899115,2.04534730809756e-07,1.43174311566829e-06,"***"
"V91","All","M12","Conductivity",-0.180119783176179,0.0893560048095474,0.118674495174922,""
"V92","All","M1","Conductivity",-0.674387828647403,3.18010648160411e-13,4.45214907424575e-12,"***"
"V93","All","M7","Conductivity",0.335006193317839,0.00124867175474244,0.00349628091327883,"**"
"V94","All","M10","Conductivity",-0.366525318279174,0.000380790464093259,0.00133276662432641,"**"
"V95","All","M9","Conductivity",-0.212493026457206,0.0443537176775056,0.0763714122697198,""
"V96","All","M11","Conductivity",0.214668812190598,0.0421726625447276,0.0763714122697198,""
"V97","All","M13","Conductivity",0.245882791773996,0.0194898064671911,0.0454762150901126,"*"
"V98","All","M5","Conductivity",0.446681260803519,1.01903104237728e-05,4.75547819776064e-05,"***"
"V99","All","M2","TN",0.106632261192992,0.317156964676211,0.444019750546695,""
"V100","All","M8","TN",-0.897193540950538,5.49827996600155e-33,7.69759195240217e-32,"***"
"V101","All","M14","TN",0.0733507997571493,0.492041136764344,0.626234174063711,""
"V102","All","M6","TN",-0.115635852115167,0.277775939922657,0.444019750546695,""
"V103","All","M4","TN",0.567425040026971,5.49334778200714e-09,3.845343447405e-08,"***"
"V104","All","M3","TN",-0.195142124877761,0.0653048772916491,0.251549871421749,""
"V105","All","M12","TN",-0.129281201687642,0.224583957825172,0.444019750546695,""
"V106","All","M1","TN",0.166499542389602,0.116777759662802,0.326977727055846,""
"V107","All","M7","TN",-0.109943619105761,0.302274483146427,0.444019750546695,""
"V108","All","M10","TN",-0.190650167834967,0.0718713918347853,0.251549871421749,""
"V109","All","M9","TN",-0.0240982280465705,0.821626969732705,0.884829044327528,""
"V110","All","M11","TN",-0.0472962983086948,0.658005946566854,0.767673604327996,""
"V111","All","M13","TN",-0.00543799549544137,0.959430241269738,0.959430241269738,""
"V112","All","M5","TN",-0.148527119808125,0.162378062323611,0.378882145421759,""
