"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_10337","OTU_10337",2,2,0.0230295265983407,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1824","OTU_1824",2,0,0.0367557345046364,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__"
"OTU_3545","OTU_3545",12,297,0.0160139092240117,"M4",3.79467060357993,0,"Module hubs","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"OTU_3970","OTU_3970",1,0,0.0449914592484139,"M25",NA,NA,NA,"k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__"
"OTU_1859","OTU_1859",2,666,0.05017691556857,"M3",-0.523977988569715,0.120707596253902,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_2048","OTU_2048",1,0,0.0169289897510981,"M13",-1.15470053837925,0.5,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__CL500-29 marine group","s__"
"OTU_571","OTU_571",3,334,0.02150439238653,"M1",-0.84428482455669,0.53125,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__"
"OTU_177","OTU_177",2,334,0.10889458272328,"M16",0.707106781186547,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__"
"OTU_801","OTU_801",2,666,0.0581076134699854,"M13",0.577350269189626,0.0399833402748855,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_2993","OTU_2993",2,12,0.0539897510980966,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_7127","OTU_7127",1,0,0.0146412884333821,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__"
"OTU_425","OTU_425",3,352,0.138329673011225,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Flammeovirgaceae","g__","s__"
"OTU_1368","OTU_1368",3,36,0.0248596876525134,"M4",0.113612892322752,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__"
"OTU_525","OTU_525",31,389,0.155106149341142,"M2",0.624868531674181,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_1194","OTU_1194",1,0,0.130856515373353,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__"
"OTU_7557","OTU_7557",7,745,0.0431612981942411,"M3",0.399877938645309,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__"
"OTU_1207","OTU_1207",3,0,0.0410261102977062,"M1",-0.84428482455669,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_87","OTU_87",14,1352,0.402482918496828,"M2",-0.506550229818715,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__"
"OTU_4333","OTU_4333",1,0,0.0204367984382626,"M24",NA,NA,NA,"k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__"
"OTU_301","OTU_301",25,1366,0.0443814055636896,"M2",0.225544262911983,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Smithella","s__"
"OTU_9901","OTU_9901",1,0,0.0399585163494387,"M2",-1.37175281213681,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__"
"OTU_967","OTU_967",3,5,0.145040263543192,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_489","OTU_489",2,30,0.0684785261102977,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 2","f__","g__","s__"
"OTU_3189","OTU_3189",2,0,0.0221144460712543,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__"
"OTU_1175","OTU_1175",3,0,0.0488042947779405,"M1",-0.84428482455669,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__","g__","s__"
"OTU_3508","OTU_3508",5,34,0.0172340165934602,"M4",0.93162571704657,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__","g__","s__"
"OTU_938","OTU_938",3,667,0.0605478282088824,"M3",-0.33920680312671,0.444444444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_1162","OTU_1162",4,4,0.0353831137140068,"M1",-0.75176046022171,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__"
"OTU_12339","OTU_12339",2,0,0.0141837481698389,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_3116","OTU_3116",2,13,0.0425512445095168,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__"
"OTU_7205","OTU_7205",3,9,0.0170815031722792,"M4",0.113612892322752,0.5,"Peripheral nodes","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__Lineage IIa","f__","g__","s__"
"OTU_2361","OTU_2361",1,0,0.0242496339677892,"M4",-0.704399932401065,0.5,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__"
"OTU_1277","OTU_1277",3,34,0.0161664226451928,"M4",0.113612892322752,0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__S-BQ2-57 soil group","o__","f__","g__","s__"
"OTU_3306","OTU_3306",1,0,0.0793069790141532,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__","o__","f__","g__","s__"
"OTU_57","OTU_57",12,2549,0.556979014153245,"M2",-0.639658319406115,0.345679012345679,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__"
"OTU_265","OTU_265",13,1463,0.266745973645681,"M3",1.50850505130334,0.291666666666667,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_3164","OTU_3164",2,0,0.0218094192288921,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__"
"OTU_8066","OTU_8066",16,377,0.0175390434358224,"M1",0.358531911798046,0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__IheB3-7","g__","s__"
"OTU_3336","OTU_3336",9,37,0.0359931673987311,"M1",-0.289138638546812,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__"
"OTU_713","OTU_713",2,0,0.038128355295266,"M3",-0.523977988569715,0.489795918367347,"Peripheral nodes","k__Bacteria","p__SHA-109","c__","o__","f__","g__","s__"
"OTU_944","OTU_944",1,0,0.0459065397755002,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Leisingera","s__"
"OTU_3597","OTU_3597",2,0,0.023792093704246,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_8029","OTU_8029",31,667,0.0192166910688141,"M1",1.74639737682274,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__","g__","s__"
"OTU_661","OTU_661",37,1113,0.0642081503172279,"M2",1.02419280043638,0.0475907198096371,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus","s__"
"OTU_1649","OTU_1649",4,0,0.0465165934602245,"M2",-1.17209067775571,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Polaromonas","s__"
"OTU_6465","OTU_6465",1,0,0.0266898487066862,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__"
"OTU_7510","OTU_7510",4,9,0.0138787213274768,"M1",-0.75176046022171,0.328180737217598,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_1823","OTU_1823",3,45,0.118045387994143,"M3",-0.33920680312671,0.32,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Haliea","s__"
"OTU_6485","OTU_6485",3,94,0.0173865300146413,"M4",0.113612892322752,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__JG37-AG-4","o__","f__","g__","s__"
"OTU_3995","OTU_3995",1,0,0.0205893118594436,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__"
"OTU_846","OTU_846",12,69,0.0416361639824305,"M1",-0.0115655455418725,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_1174","OTU_1174",12,141,0.0603953147877013,"M1",-0.0115655455418725,0.493827160493827,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1167","OTU_1167",6,136,0.0219619326500732,"M1",-0.566711731551751,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_107","OTU_107",7,487,0.262933138116154,"M3",0.399877938645309,0.244897959183674,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Robiginitalea","s__"
"OTU_8174","OTU_8174",6,1018,0.0150988286969253,"M3",0.215106753202304,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Filomicrobium","s__"
"OTU_3220","OTU_3220",10,980,0.0257747681795998,"M1",-0.196614274211832,0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__"
"OTU_3122","OTU_3122",14,469,0.0530746705710103,"M1",0.173483183128087,0.0768,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_7885","OTU_7885",10,4,0.0301976573938507,"M2",-0.772766408993514,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingorhabdus","s__"
"OTU_4047","OTU_4047",1,0,0.0250122010736945,"M22",NA,NA,NA,"k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__"
"OTU_3296","OTU_3296",1,0,0.0257747681795998,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_3500","OTU_3500",3,334,0.0323328452903856,"M6",0.77709281262705,0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__"
"OTU_7714","OTU_7714",1,0,0.0138787213274768,"M1",-1.02933355322665,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfarculales","f__Desulfarculaceae","g__Desulfatiglans","s__"
"OTU_842","OTU_842",12,71,0.163189360663738,"M1",-0.0115655455418725,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_8187","OTU_8187",3,14,0.0492618350414837,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_3143","OTU_3143",9,8,0.0274524158125915,"M1",-0.289138638546812,0.18,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__"
"OTU_1287","OTU_1287",1,0,0.0349255734504636,"M16",-0.707106781186547,0.5,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__","o__","f__","g__","s__"
"OTU_7629","OTU_7629",15,261,0.0297401171303075,"M1",0.266007547463067,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_4108","OTU_4108",1,0,0.0205893118594436,"M5",-0.752564215033007,0.666666666666667,"Connectors","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_1166","OTU_1166",22,2818,0.0700036603221083,"M1",0.913678097807924,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Sva0081 sediment group","s__"
"OTU_2260","OTU_2260",1,0,0.0154038555392875,"M20",NA,NA,NA,"k__Bacteria","p__Chloroflexi","c__JG30-KF-CM66","o__","f__","g__","s__"
"OTU_1632","OTU_1632",1,0,0.0149463152757443,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__BSV26","g__","s__"
"OTU_3276","OTU_3276",7,739,0.035688140556369,"M5",1.38630250137659,0.1171875,"Peripheral nodes","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__","s__"
"OTU_11307","OTU_11307",2,34,0.0192166910688141,"M4",-0.295393520039156,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__"
"OTU_7415","OTU_7415",8,550,0.0779343582235237,"M3",0.584649124088314,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_3522","OTU_3522",7,48,0.0149463152757443,"M4",1.74963854177039,0.244897959183674,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__"
"OTU_7648","OTU_7648",7,207,0.0462115666178624,"M3",0.399877938645309,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__"
"OTU_668","OTU_668",39,325,0.0454489995119571,"M2",1.15730089002378,0,"Peripheral nodes","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanothermobacter","s__"
"OTU_3138","OTU_3138",28,990,0.02150439238653,"M1",1.4688242838178,0.231111111111111,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__","s__"
"OTU_1169","OTU_1169",23,896,0.0186066373840898,"M2",0.0924361733245831,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Desulfomonile","s__"
"OTU_2211","OTU_2211",1,0,0.0942532942898975,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_8175","OTU_8175",9,349,0.0178440702781845,"M1",-0.289138638546812,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__"
"OTU_657","OTU_657",1,0,0.0254697413372377,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__"
"OTU_1707","OTU_1707",2,0,0.0407210834553441,"M2",-1.30519876734311,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__","s__"
"OTU_2003","OTU_2003",8,162,0.0208943387018058,"M4",2.1586449541323,0.13265306122449,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__TK10","o__","f__","g__","s__"
"OTU_3139","OTU_3139",2,0,0.0393484626647145,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__"
"OTU_3134","OTU_3134",38,1685,0.0201317715959004,"M1",2.3940679271676,0.5,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__"
"OTU_4522","OTU_4522",1,0,0.0149463152757443,"M21",NA,NA,NA,"k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
"OTU_7686","OTU_7686",7,0,0.0183016105417277,"M1",-0.474187367216771,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__"
"OTU_6200","OTU_6200",1,0,0.0248596876525134,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__"
"OTU_659","OTU_659",16,226,0.0574975597852611,"M2",-0.373442140231315,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingopyxis","s__"
"OTU_1971","OTU_1971",1,0,0.0372132747681796,"M9",-0.577350269189626,0.244897959183674,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__"
"OTU_1812","OTU_1812",3,16,0.03584065397755,"M3",-0.33920680312671,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfuromonadales","f__","g__","s__"
"OTU_154","OTU_154",44,530,0.235480722303563,"M2",1.49007111399228,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__"
"OTU_172","OTU_172",34,8415,0.278642020497804,"M2",0.824530666055281,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_1833","OTU_1833",24,2832,0.033400439238653,"M1",1.09872682647788,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__"
"OTU_847","OTU_847",35,406,0.0608528550512445,"M2",0.89108471084898,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Magnetospirillum","s__"
"OTU_2240","OTU_2240",1,0,0.0152513421181064,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Candidatus Solibacter","s__"
"OTU_1196","OTU_1196",15,863,0.161816739873109,"M1",0.266007547463067,0.5,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__"
"OTU_7984","OTU_7984",2,0,0.0176915568570034,"M1",-0.936809188891669,0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__"
"OTU_3659","OTU_3659",1,0,0.0468216203025866,"M9",-0.577350269189626,0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__","g__","s__"
"OTU_2784","OTU_2784",8,969,0.0274524158125915,"M3",0.584649124088314,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__"
"OTU_1854","OTU_1854",2,2,0.054752318204002,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__"
