"","z","module","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness"
"OTU_50",-1.30519876734311,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__",2,0
"OTU_1",-0.0406719162628165,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae 1","g__Clostridium sensu stricto 13","s__",21,2
"OTU_55",-1.23864472254941,"M2",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__RB41","g__","s__",3,0
"OTU_13824",-0.240334050643916,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae 1","g__Clostridium sensu stricto 13","s__",18,8
"OTU_151",-1.37175281213681,"M2",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__",1,0
"OTU_4731",1.29040897961118,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__",41,2782
"OTU_390",0.491760442086782,"M2",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__",29,178
"OTU_67",-0.972428543374613,"M2",0.476370510396975,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cyclobacteriaceae","g__Algoriphagus","s__",7,12
"OTU_13463",-1.37175281213681,"M2",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__",1,0
"OTU_357",0.225544262911983,"M2",0.32,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__",25,3280
"OTU_189",-0.972428543374613,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__","s__",7,0
"OTU_71",-0.839320453787214,"M2",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__JG30-KF-AS9","f__","g__","s__",9,0
"OTU_9",-0.0406719162628165,"M2",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__",21,1010
"OTU_354",-0.639658319406115,"M2",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",12,0
"OTU_34",1.09074684523008,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__",38,246
"OTU_447",-0.839320453787214,"M2",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Chitinophagaceae","g__Ferruginibacter","s__",9,1679
"OTU_340",-1.17209067775571,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","s__",4,1320
"OTU_219",-1.23864472254941,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__","s__",3,8
"OTU_3651",-0.839320453787214,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","s__",9,71
"OTU_525",0.624868531674181,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__",31,389
"OTU_87",-0.506550229818715,"M2",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__",14,1352
"OTU_301",0.225544262911983,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Smithella","s__",25,1366
"OTU_9901",-1.37175281213681,"M2",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__",1,0
"OTU_57",-0.639658319406115,"M2",0.345679012345679,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__",12,2549
"OTU_661",1.02419280043638,"M2",0.0475907198096371,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus","s__",37,1113
"OTU_1649",-1.17209067775571,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Polaromonas","s__",4,0
"OTU_7885",-0.772766408993514,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingorhabdus","s__",10,4
"OTU_668",1.15730089002378,"M2",0,"Peripheral nodes","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanothermobacter","s__",39,325
"OTU_1169",0.0924361733245831,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Desulfomonile","s__",23,896
"OTU_1707",-1.30519876734311,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__","s__",2,0
"OTU_659",-0.373442140231315,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingopyxis","s__",16,226
"OTU_154",1.49007111399228,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__",44,530
"OTU_172",0.824530666055281,"M2",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",34,8415
"OTU_847",0.89108471084898,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Magnetospirillum","s__",35,406
"OTU_1243",0.225544262911983,"M2",0.48,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__Arcicella","s__",25,183
"OTU_438",-1.37175281213681,"M2",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__",1,0
"OTU_178",0.225544262911983,"M2",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__",25,2475
"OTU_626",-1.10553663296201,"M2",0.32,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__",5,0
"OTU_1901",0.491760442086782,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__GKS98 freshwater group","s__",29,29
"OTU_4",-1.30519876734311,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__",2,525
"OTU_874",0.824530666055281,"M2",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Frankiales","f__Sporichthyaceae","g__hgcI clade","s__",34,25
"OTU_7403",-1.17209067775571,"M2",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Saccharopolyspora","s__",4,0
"OTU_1891",0.89108471084898,"M2",0.0768,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__",35,20
"OTU_266",1.22385493481748,"M2",0,"Peripheral nodes","k__Bacteria","p__Spirochaetae","c__Spirochaetes","o__Spirochaetales","f__Spirochaetaceae","g__","s__",40,700
"OTU_650",-1.23864472254941,"M2",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",3,0
"OTU_1897",1.29040897961118,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__",41,74
"OTU_2252",0.0924361733245831,"M2",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__CL500-29 marine group","s__",23,136
"OTU_3211",-0.573104274612415,"M2",0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutae vadinHA64","f__","g__","s__",13,4
"OTU_360",0.292098307705682,"M2",0,"Peripheral nodes","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Thermovirga","s__",26,1236
"OTU_655",-1.17209067775571,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__",4,0
"OTU_9506",-0.306888095437616,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__",17,4
"OTU_3222",0.292098307705682,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__Oceanobacillus indicireducens",26,4
"OTU_1912",0.0924361733245831,"M2",0,"Peripheral nodes","k__Bacteria","p__Caldiserica","c__Caldisericia","o__Caldisericales","f__TTA-B1","g__","s__",23,0
"OTU_1185",1.62317920357968,"M2",0,"Peripheral nodes","k__Bacteria","p__Thermotogae","c__Thermotogae","o__Thermotogales","f__Thermotogaceae","g__EM3","s__",46,3112
"OTU_1892",1.62317920357968,"M2",0,"Peripheral nodes","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Anaerobaculum","s__",46,420
"OTU_1914",0.558314486880481,"M2",0.489795918367347,"Peripheral nodes","k__Bacteria","p__Acetothermia","c__","o__","f__","g__","s__",30,140
"OTU_1811",-0.373442140231315,"M2",0.5,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Chitinophagaceae","g__Ferruginibacter","s__",16,13
"OTU_126",1.88939538275448,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Lentibacillus","s__",50,5832
"OTU_902",1.42351706919858,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Oceanobacillus","s__",43,112
"OTU_351",1.82284133796078,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__",49,883
"OTU_264",1.55662515878598,"M2",0.5,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae","g__Kroppenstedtia","s__",45,120
"OTU_1173",0.624868531674181,"M2",0,"Peripheral nodes","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__","s__",31,239
"OTU_3337",-0.905874498580914,"M2",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__",8,0
"OTU_428",0.558314486880481,"M2",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__","s__",30,4323
"OTU_1866",1.68973324837338,"M2",0.5,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Thermoanaerobacterales","f__Thermodesulfobiaceae","g__Coprothermobacter","s__",47,623
"OTU_1848",1.29040897961118,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__",41,64
"OTU_3285",0.0924361733245831,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae","g__Kroppenstedtia","s__",23,9
"OTU_3419",-0.306888095437616,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__",17,11
"OTU_1204",0.624868531674181,"M2",0,"Peripheral nodes","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__",31,20
"OTU_1184",0.292098307705682,"M2",0,"Peripheral nodes","k__Bacteria","p__Acetothermia","c__","o__","f__","g__","s__",26,16
"OTU_8206",-0.573104274612415,"M2",0,"Peripheral nodes","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Anaerobaculum","s__",13,0
"OTU_666",-1.37175281213681,"M2",0,"Peripheral nodes","k__Bacteria","p__Marinimicrobia (SAR406 clade)","c__","o__","f__","g__","s__",1,0
"OTU_305",1.11803398874989,"M8",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Syntrophus","s__",3,4
"OTU_3303",1.11803398874989,"M8",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__",3,6
"OTU_12",0,"M8",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__",2,4
"OTU_578",-1.11803398874989,"M8",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__",1,0
"OTU_2564",-1.11803398874989,"M8",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Syntrophus","s__",1,0
"OTU_30",0,"M8",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__",2,0
"OTU_41",-0.577350269189626,"M14",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__PeM15","f__","g__","s__",1,0
"OTU_84",-0.577350269189626,"M14",0.37037037037037,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__Acidimicrobiaceae","g__Illumatobacter","s__",1,0
"OTU_117",1.15470053837925,"M14",0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__PHOS-HE36","g__","s__",3,667
"OTU_59",0.77709281262705,"M6",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidia Incertae Sedis","f__Draconibacteriaceae","g__","s__",3,2306
"OTU_78",-0.111013258946721,"M6",0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__",2,334
"OTU_165",-0.111013258946721,"M6",0.375,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__",2,0
"OTU_349",-0.999119330520493,"M6",0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__",1,0
"OTU_3500",0.77709281262705,"M6",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__",3,334
"OTU_702",-0.999119330520493,"M6",0.489795918367347,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__",1,0
"OTU_943",1.66519888420082,"M6",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__WCHB1-69","g__","s__",4,1327
"OTU_3727",-0.999119330520493,"M6",0.231111111111111,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes vadinHA17","o__","f__","g__","s__",1,0
"OTU_4050",-0.295393520039156,"M4",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 15","f__","g__","s__",2,4
"OTU_2562",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",1,0
"OTU_5867",1.34063212940848,"M4",0.58,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__",6,173
"OTU_1496",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__",3,98
"OTU_1283",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__",2,34
"OTU_2548",1.34063212940848,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",6,183
"OTU_1623",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadales Incertae Sedis","g__Acidibacter","s__",1,0
"OTU_3756",-0.704399932401065,"M4",0.197530864197531,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",1,0
"OTU_2005",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_1360",0.522619304684661,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",4,47
"OTU_1297",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_280",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__",3,60
"OTU_2690",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",1,0
"OTU_984",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",1,0
"OTU_10337",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",2,2
"OTU_3545",3.79467060357993,"M4",0,"Module hubs","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__",12,297
"OTU_1368",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__","s__",3,36
"OTU_489",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 2","f__","g__","s__",2,30
"OTU_3508",0.93162571704657,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__","g__","s__",5,34
"OTU_7205",0.113612892322752,"M4",0.5,"Peripheral nodes","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__Lineage IIa","f__","g__","s__",3,9
"OTU_2361",-0.704399932401065,"M4",0.5,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",1,0
"OTU_1277",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__S-BQ2-57 soil group","o__","f__","g__","s__",3,34
"OTU_3597",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",2,0
"OTU_6465",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__",1,0
"OTU_6485",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__JG37-AG-4","o__","f__","g__","s__",3,94
"OTU_1632",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__BSV26","g__","s__",1,0
"OTU_11307",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",2,34
"OTU_3522",1.74963854177039,"M4",0.244897959183674,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",7,48
"OTU_657",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__",1,0
"OTU_2003",2.1586449541323,"M4",0.13265306122449,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__TK10","o__","f__","g__","s__",8,162
"OTU_6200",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",1,0
"OTU_2240",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Candidatus Solibacter","s__",1,0
"OTU_2274",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Gitt-GS-136","o__","f__","g__","s__",1,0
"OTU_12238",-0.295393520039156,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 2","f__","g__","s__",2,6
"OTU_4036",-0.704399932401065,"M4",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",1,0
"OTU_11045",0.113612892322752,"M4",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Candidatus Koribacter","s__",3,11
"OTU_4147",3.35621690573339,"M3",0.444444444444444,"Module hubs","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Halioglobus","s__",23,2412
"OTU_109",0.769420309531319,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Anderseniella","s__",9,273
"OTU_220",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__",5,6
"OTU_11",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__",1,0
"OTU_1349",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__",1,0
