"","z","module","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness"
"OTU_1816",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",5,342
"OTU_7991",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__ABS-19","g__","s__",3,346
"OTU_853",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__","s__",1,0
"OTU_1895",0.399877938645309,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Robiginitalea","s__",7,31
"OTU_381",0.584649124088314,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",8,64
"OTU_212",-0.33920680312671,"M3",0.152777777777778,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Imtechella","s__",3,342
"OTU_1836",-0.523977988569715,"M3",0.260355029585799,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Altererythrobacter","s__",2,0
"OTU_45",-0.523977988569715,"M3",0.5,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__43F-1404R","f__","g__","s__",2,15
"OTU_841",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__S085","o__","f__","g__","s__",3,28
"OTU_6413",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Yangia","s__",1,0
"OTU_1814",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",1,0
"OTU_4348",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__KD4-96","o__","f__","g__","s__",1,0
"OTU_1831",0.954191494974323,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",10,1182
"OTU_1859",-0.523977988569715,"M3",0.120707596253902,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__",2,666
"OTU_425",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Flammeovirgaceae","g__","s__",3,352
"OTU_1194",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Sulfurovum","s__",1,0
"OTU_7557",0.399877938645309,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__",7,745
"OTU_967",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",3,5
"OTU_938",-0.33920680312671,"M3",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",3,667
"OTU_12339",-0.523977988569715,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",2,0
"OTU_3116",-0.523977988569715,"M3",0,"Peripheral nodes","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__",2,13
"OTU_3306",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__","o__","f__","g__","s__",1,0
"OTU_265",1.50850505130334,"M3",0.291666666666667,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",13,1463
"OTU_3164",-0.523977988569715,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__",2,0
"OTU_713",-0.523977988569715,"M3",0.489795918367347,"Peripheral nodes","k__Bacteria","p__SHA-109","c__","o__","f__","g__","s__",2,0
"OTU_944",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Leisingera","s__",1,0
"OTU_1823",-0.33920680312671,"M3",0.32,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__Haliea","s__",3,45
"OTU_107",0.399877938645309,"M3",0.244897959183674,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Robiginitalea","s__",7,487
"OTU_8174",0.215106753202304,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Filomicrobium","s__",6,1018
"OTU_8187",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",3,14
"OTU_7415",0.584649124088314,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",8,550
"OTU_7648",0.399877938645309,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",7,207
"OTU_2211",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",1,0
"OTU_3139",-0.523977988569715,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__",2,0
"OTU_1812",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfuromonadales","f__","g__","s__",3,16
"OTU_2784",0.584649124088314,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__",8,969
"OTU_1854",-0.523977988569715,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",2,2
"OTU_426",0.769420309531319,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 4","f__","g__Blastocatella","s__",9,642
"OTU_3712",1.87804742218935,"M3",0,"Peripheral nodes","k__Bacteria","p__SHA-109","c__","o__","f__","g__","s__",15,1325
"OTU_1858",1.13896268041733,"M3",0.417355371900826,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Rubripirellula","s__",11,781
"OTU_2358",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",1,0
"OTU_8256",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Muriicola","s__",1,0
"OTU_10525",-0.523977988569715,"M3",0.571428571428571,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",2,27
"OTU_1869",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__PAUC26f","g__","s__",3,2
"OTU_3321",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 17","f__","g__","s__",5,741
"OTU_7541",0.584649124088314,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 18","f__","g__","s__",8,230
"OTU_3101",-0.70874917401272,"M3",0.408163265306122,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",1,0
"OTU_1397",-0.523977988569715,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Shewanellaceae","g__Shewanella","s__",2,334
"OTU_1885",5.38869994560644,"M3",0.191326530612245,"Module hubs","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Rubripirellula","s__",34,4192
"OTU_733",0.584649124088314,"M3",0.0831758034026465,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 21","f__","g__","s__",8,732
"OTU_1832",0.954191494974323,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 9","f__","g__","s__",10,478
"OTU_1827",-0.523977988569715,"M3",0.197530864197531,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__",2,996
"OTU_4531",-0.33920680312671,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 17","f__","g__","s__",3,25
"OTU_8360",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__",1,0
"OTU_7319",0.215106753202304,"M3",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__","s__",6,42
"OTU_3100",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__BSV26","g__","s__",5,291
"OTU_7424",-0.70874917401272,"M3",0.0512465373961218,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__","s__",1,0
"OTU_1181",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Rhodovulum","s__",1,0
"OTU_4519",-0.70874917401272,"M3",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__Planctomycetacia","o__Planctomycetales","f__Planctomycetaceae","g__Pirellula","s__",1,0
"OTU_7456",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Subgroup 26","o__","f__","g__","s__",5,406
"OTU_2203",0.215106753202304,"M3",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__",6,366
"OTU_1843",0.0303355677592993,"M3",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__KI89A clade","f__","g__","s__",5,45
"OTU_12367",1.15470053837925,"M12",0.444444444444444,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__","s__",2,1
"OTU_158",-0.577350269189626,"M12",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Arenimonas","s__",1,0
"OTU_38",-0.577350269189626,"M12",0.5,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Cryobacterium","s__",1,0
"OTU_1646",-0.65923609588673,"M1",0.225694444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Order Incertae Sedis","f__Family Incertae Sedis","g__Marinicella","s__",5,62
"OTU_2835",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__",1,0
"OTU_341",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Limnobacter","s__",2,0
"OTU_7417",0.266007547463067,"M1",0.24,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",15,259
"OTU_7502",0.358531911798046,"M1",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",16,363
"OTU_3356",-0.75176046022171,"M1",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",4,2
"OTU_1176",-1.02933355322665,"M1",0.375,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",1,0
"OTU_8356",-0.84428482455669,"M1",0.5,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",3,0
"OTU_3130",0.266007547463067,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sh765B-TzT-29","f__","g__","s__",15,274
"OTU_854",-0.566711731551751,"M1",0.152777777777778,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__","o__","f__","g__","s__",6,206
"OTU_507",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",1,0
"OTU_1821",-0.289138638546812,"M1",0.197530864197531,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 7","f__","g__","s__",9,15
"OTU_1824",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__",2,0
"OTU_571",-0.84428482455669,"M1",0.53125,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__",3,334
"OTU_2993",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__",2,12
"OTU_7127",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Sva0485","f__","g__","s__",1,0
"OTU_1207",-0.84428482455669,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",3,0
"OTU_3189",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__",2,0
"OTU_1175",-0.84428482455669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__","g__","s__",3,0
"OTU_1162",-0.75176046022171,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__",4,4
"OTU_8066",0.358531911798046,"M1",0,"Peripheral nodes","k__Bacteria","p__Chlorobi","c__Ignavibacteria","o__Ignavibacteriales","f__IheB3-7","g__","s__",16,377
"OTU_3336",-0.289138638546812,"M1",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__","g__","s__",9,37
"OTU_8029",1.74639737682274,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__","g__","s__",31,667
"OTU_7510",-0.75176046022171,"M1",0.328180737217598,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",4,9
"OTU_3995",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__Croceicoccus","s__",1,0
"OTU_846",-0.0115655455418725,"M1",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 6","f__","g__","s__",12,69
"OTU_1174",-0.0115655455418725,"M1",0.493827160493827,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",12,141
"OTU_1167",-0.566711731551751,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",6,136
"OTU_3220",-0.196614274211832,"M1",0,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__PAUC43f marine benthic group","f__","g__","s__",10,980
"OTU_3122",0.173483183128087,"M1",0.0768,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",14,469
"OTU_3296",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",1,0
"OTU_7714",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfarculales","f__Desulfarculaceae","g__Desulfatiglans","s__",1,0
"OTU_842",-0.0115655455418725,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",12,71
"OTU_3143",-0.289138638546812,"M1",0.18,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__",9,8
"OTU_7629",0.266007547463067,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",15,261
"OTU_1166",0.913678097807924,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobacteraceae","g__Sva0081 sediment group","s__",22,2818
"OTU_3138",1.4688242838178,"M1",0.231111111111111,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__","s__",28,990
"OTU_8175",-0.289138638546812,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__",9,349
"OTU_3134",2.3940679271676,"M1",0.5,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__",38,1685
"OTU_7686",-0.474187367216771,"M1",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",7,0
"OTU_1833",1.09872682647788,"M1",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__",24,2832
"OTU_1196",0.266007547463067,"M1",0.5,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",15,863
"OTU_7984",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Planctomycetes","c__OM190","o__","f__","g__","s__",2,0
"OTU_3194",-0.0115655455418725,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",12,207
"OTU_7396",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__KI89A clade","f__","g__","s__",2,0
"OTU_7389",-0.381663002881791,"M1",0,"Peripheral nodes","k__Bacteria","p__Deinococcus-Thermus","c__Deinococci","o__Deinococcales","f__Trueperaceae","g__Truepera","s__",8,14
"OTU_1830",-0.381663002881791,"M1",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 23","f__","g__","s__",8,78
"OTU_3268",0.451056276133026,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Flammeovirgaceae","g__","s__",17,201
"OTU_7548",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Nitrospinaceae","g__","s__",2,78
"OTU_3098",-0.381663002881791,"M1",0,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Saprospiraceae","g__","s__",8,0
"OTU_3132",1.56134864815278,"M1",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 21","f__","g__","s__",29,852
"OTU_3105",-0.289138638546812,"M1",0.48,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",9,162
"OTU_8057",-1.02933355322665,"M1",0.46875,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",1,0
"OTU_530",-0.289138638546812,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__JTB255 marine benthic group","g__","s__",9,1723
"OTU_7899",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__",1,0
"OTU_1839",-0.936809188891669,"M1",0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__","s__",2,5
"OTU_1850",2.57911665583756,"M1",0,"Module hubs","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__Methylophilaceae","g__Methylotenera","s__",40,1371
"OTU_3295",-1.02933355322665,"M1",0.197530864197531,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Order II","f__Rhodothermaceae","g__","s__",1,0
"OTU_7615",-1.02933355322665,"M1",0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer","s__",1,0
"OTU_1168",-1.02933355322665,"M1",0.124444444444444,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Halieaceae","g__","s__",1,0
"OTU_8122",-0.936809188891669,"M1",0.290123456790123,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",2,20
"OTU_851",-0.289138638546812,"M1",0.0798611111111112,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__",9,231
"OTU_7418",0.266007547463067,"M1",0.104938271604938,"Peripheral nodes","k__Bacteria","p__Bacteroidetes","c__Bacteroidetes BD2-2","o__","f__","g__","s__",15,265
"OTU_3127",0.543580640468006,"M1",0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Subgroup 10","f__Sva0725","g__","s__",18,2069
"OTU_3150",1.09872682647788,"M1",0,"Peripheral nodes","k__Bacteria","p__Aminicenantes","c__","o__","f__","g__","s__",24,527
"OTU_8083",0.543580640468006,"M1",0,"Peripheral nodes","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","f__OM1 clade","g__","s__",18,745
"OTU_7609",-1.02933355322665,"M1",0.04875,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__","s__",1,0
